Year,ALLUMs_snow_free,ALLUMs_all_land,GLASS_all_land,ALLUMs_snow_free_absolute_anomaly,ALLUMs_snow_free_percent_anomaly,ALLUMs_all_land_absolute_anomaly,ALLUMs_all_land_percent_anomaly,GLASS_all_land_absolute_anomaly,GLASS_all_land_percent_anomaly
2001,0.1701860458113697,0.2528004637887511,0.2793193114363679,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.1720460410149612,0.2538923503163687,0.2798688255960826,0.001859995203591508,1.092918749433247,0.0010918865276176026,0.43191634669230705,0.0005495141597147146,0.19673332176315395
2003,0.1728431571928365,0.2548620388364792,0.28134290484107,0.0026571113814667924,1.561298030516478,0.0020615750477280814,0.8154949626401065,0.0020235934047020954,0.7244731466277798
2004,0.1724209881895598,0.2544994813666478,0.281231731867794,0.002234942378190108,1.3132347999126104,0.0016990175778966998,0.6720785050918554,0.0019124204314260873,0.6846717549143566
2005,0.1723391632217842,0.2536126379115521,0.2800380549149577,0.00215311741041449,1.2651550837493142,0.0008121741228009904,0.3212708199300085,0.0007187434785898006,0.25731965143898083
2006,0.172577311577472,0.2540258125753906,0.2803702311942436,0.0023912657661022962,1.4050892096950873,0.0012253487866394908,0.48470986495634527,0.0010509197578756901,0.3762431435447411
2007,0.1721620208560715,0.2531667034631686,0.2795316473055347,0.0019759750447017888,1.1610676041512225,0.00036623967441751226,0.14487302314585282,0.00021233586916680203,0.07601904360814427
2008,0.1733693664939464,0.2543680785053339,0.2805326836935655,0.003183320682576707,1.8704945328508416,0.001567614716582788,0.6200996205025788,0.001213372257197587,0.43440328237884795
2009,0.1738917593886392,0.2558970755738839,0.2815414121099928,0.0037057135772695093,2.1774485443870173,0.003096611785132819,1.2249233006631055,0.0022221006736248827,0.7955413688362611
2010,0.1726671689853606,0.2540302023561314,0.2805489109511044,0.0024811231739909068,1.4578887253429373,0.0012297385673802896,0.48644632567125257,0.0012295995147365013,0.4402128547480011
2011,0.1723792093339899,0.2546176607774914,0.2814392389395572,0.002193163522620195,1.2886858685529745,0.0018171969887402772,0.7188266039965807,0.0021199275031892895,0.7589620253207086
2012,0.1723295699949055,0.2532928603171694,0.2803561445052623,0.0021435241835358054,1.2595181780717946,0.0004923965284183152,0.19477675042154363,0.001036833068894405,0.3711999229708107
2013,0.1726237974121579,0.2552478795480037,0.2823292136267614,0.002437751600788185,1.4324039254605792,0.0024474157592526136,0.9681215463662074,0.0030099021903934875,1.0775847093834612
2014,0.1723331194354726,0.2533497305141616,0.2805130730057234,0.0021470736241029076,1.2616038018079756,0.0005492667254105021,0.21727283137797926,0.0011937615693555226,0.4273823973060642
2015,0.1724050413556701,0.2532355349575608,0.2791799734520662,0.0022189955443004117,1.3038645640547353,0.00043507116880969754,0.1721006212920706,-0.00013933798430171285,-0.049884837387426106
2016,0.1718265699181446,0.2519694591777074,0.2789645992396828,0.0016405241067748988,0.9639592358783755,-0.0008310046110436842,-0.3287195753478134,-0.0003547121966850919,-0.12699164796770024
2017,0.1730629598858266,0.2552034893383816,0.2775863254568444,0.0028769140744568933,1.6904523874099464,0.002403025549630511,0.9505621602176273,-0.0017329859795234825,-0.6204318529255293
2018,0.1742735237488896,0.257245204232487,0.2792915563875209,0.004087477937519901,2.4017703202590335,0.004444740443735884,1.7582010638438117,-2.7755048847000197e-05,-0.009936673803279117
2019,0.1742055496805862,0.2546795149486576,0.2777064849571197,0.004019503869216512,2.3618292851528055,0.0018790511599064974,0.7432941901074575,-0.0016128264792482083,-0.577413165940599
2020,0.1739530620560632,0.2546214012210531,0.2773005164363234,0.0037670162446934996,2.213469516101685,0.0018209374323019945,0.7203062071213795,-0.002018795000044482,-0.7227552544301519
